,task,status,trackerID,server,state,country,date
199,Extracting data from various sources,failed,89328463686,88c1:3921:743f:8a30:b623:3d94:aca6:f26b,Tokyo,Tokyo,2020-09-06 17:14:59
200,Designing and implementing data models,-,89328463687,65b9:a968:3915:946d:1874:f86e:e7f6:1b00,Tokyo,Tokyo,2020-04-17 00:44:05
201,Extracting data from various sources,failed,89328463688,a3d1:d1f3:1b3e:8e4e:e5c7:ed76:b98f:66d5,New York,New York,2020-06-07 10:19:15
202,Building data pipelines,success,89328463689,4a9d:acea:93c:e4ae:78fd:e7bf:53fc:6906,Queensland,Queensland,2020-10-04 02:03:42
203,Transforming data into a unified format,success,89328463690,7c57:72e0:43c7:2ad1:398f:3b90:8f33:9d6c,Texas,Texas,2020-11-12 21:14:42
204,Loading data into a data warehouse,success,89328463691,6f6c:e655:8e36:6798:a402:2bb2:f3a5:f7e4,Paris,Paris,2020-11-01 04:22:54
205,Loading data into a data warehouse,success,89328463692,3433:cd30:f42a:6677:88f3:7da2:bad9:4110,Ontario,Ontario,2020-10-11 04:57:01
206,Extracting data from various sources,success,89328463693,a06e:11ab:851f:91bc:a6b6:e8f:e337:7145,Texas,Texas,2020-06-30 06:21:49
207,Optimizing database performance,success,89328463694,1fc7:3833:696d:17b8:e7dd:f1dc:d65f:f685,California,California,2020-09-06 22:29:16
208,Extracting data from various sources,success,89328463695,85d3:674f:a871:b773:5fad:bcf6:32cb:2f86,Texas,Texas,2020-04-22 06:17:18
209,Building data pipelines,success,89328463696,fc56:d331:6ef7:3fe8:49ef:36cb:bab4:c727,New York,New York,2020-08-24 05:12:13
210,Loading data into a data warehouse,success,89328463697,a236:ed7b:d520:55d:18d2:5405:b44:9dcf,Florida,Florida,2020-07-16 17:27:25
211,Data quality assurance,success,89328463698,e0ab:d63b:14a:74e2:249e:b2d4:16bd:7f09,Ontario,Ontario,2020-08-16 23:46:17
212,Extracting data from various sources,success,89328463699,c0e7:a799:98e9:f522:f49f:a046:4a81:e7d9,Florida,Florida,2020-08-14 10:44:43
213,Transforming data into a unified format,success,89328463700,973a:c36e:e763:5a27:bcd2:a5e9:d86:ee80,Paris,Paris,2020-07-24 06:15:33
214,Optimizing database performance,success,89328463701,fea7:9fd6:2f2e:90b9:b96c:6b2e:6464:d3a0,Queensland,Queensland,2020-04-24 13:09:41
215,Data governance,success,89328463702,3aa6:cada:ecaa:a8b0:2549:8012:813f:3892,Queensland,Queensland,2020-05-28 19:32:42
216,Optimizing database performance,success,89328463703,4b86:15a7:7c32:eb9c:ab2a:d328:7eed:d7c6,Florida,Florida,2020-06-09 05:52:29
217,Data integration,-,89328463704,1fd1:e15:fb5c:ba51:aeaa:3a3a:8f61:4c01,Tokyo,Tokyo,2020-09-20 00:26:01
218,Extracting data from various sources,success,89328463705,3cda:87da:566f:50ab:1e8a:b70f:d1b2:6e8c,Paris,Paris,2020-05-30 23:06:26
219,Building data pipelines,success,89328463706,69af:bfb3:3b0a:f7c2:4a1e:590:426b:95d6,Queensland,Queensland,2020-05-21 00:04:11
220,Designing and implementing data models,success,89328463707,ddc6:1778:9c39:306f:1fa0:31dc:e2b1:920d,Tokyo,Tokyo,2020-04-24 02:55:03
221,Data integration,success,89328463708,7dc5:8bcf:a1dc:e95f:2333:51c0:b1c3:da00,Paris,Paris,2020-12-01 02:41:21
222,Building data pipelines,failed,89328463709,8f6:384:2c7f:39a2:ef46:a155:f255:86cf,New York,New York,2020-09-26 00:23:16
223,Designing and implementing data models,success,89328463710,e73c:b3f:b7c3:5b94:ea97:2373:7e99:8bdc,Florida,Florida,2020-06-28 18:34:03
224,Loading data into a data warehouse,success,89328463711,d49c:bde9:b94f:f1cc:fdc0:2892:f8bb:9c0c,New York,New York,2020-05-08 03:13:55
225,Transforming data into a unified format,success,89328463712,6db0:afb6:7830:c7a1:ba62:c47a:e54b:d768,Tokyo,Tokyo,2020-06-12 20:25:33
226,Extracting data from various sources,success,89328463713,e264:5181:a78c:9eb7:2dc8:85e4:248d:ef76,Florida,Florida,2020-06-28 02:20:20
227,Extracting data from various sources,success,89328463714,d8f9:3e17:c870:bad4:e55:6cf1:d12c:f12b,New York,New York,2020-09-03 07:30:00
228,Transforming data into a unified format,success,89328463715,b004:2535:f899:c6ea:1f8c:7c06:9061:869f,Florida,Florida,2020-05-01 04:26:29
229,Data integration,failed,89328463716,39e4:bb81:a795:5e94:59e5:3715:8cc6:7d6d,Ontario,Ontario,2020-04-30 14:46:47
230,Transforming data into a unified format,success,89328463717,14c1:a6ab:a2f:d095:4bb5:cb2e:8da9:a389,Florida,Florida,2020-10-13 13:50:19
231,Data integration,-,89328463718,6711:7e47:9bfa:373a:2790:16ce:edb7:2604,Ontario,Ontario,2020-06-22 12:28:15
232,Data governance,success,89328463719,ba9a:77cf:59c0:e7fc:db1d:670f:a800:8040,Florida,Florida,2020-05-17 23:09:18
233,Designing and implementing data models,success,89328463720,5b93:8e26:88c8:8c0f:213e:3cd1:6f48:a0c2,Tokyo,Tokyo,2020-06-28 02:32:23
234,Building data pipelines,success,89328463721,5bbe:2479:d8f5:926b:f7d6:e2c3:d36a:dee,California,California,2020-12-11 09:12:07
235,Optimizing database performance,success,89328463722,cd62:bf3e:8218:acd4:75aa:69c6:2ebf:15ec,New York,New York,2020-08-24 06:23:58
236,Data integration,success,89328463723,e96e:a755:672a:f7d5:17ad:f389:166:5dba,Paris,Paris,2020-06-24 05:15:54
237,Optimizing database performance,success,89328463724,4847:6eb5:21d3:d1ff:9fb2:8481:80d2:9dbc,Texas,Texas,2020-11-06 17:35:37
238,Optimizing database performance,success,89328463725,9734:e037:4351:8b66:5d77:bfbc:f5dc:cc03,Queensland,Queensland,2020-10-11 09:57:00
239,Data quality assurance,success,89328463726,cad7:242a:45a:fbed:89ce:d42f:c65f:a98f,California,California,2020-04-19 15:19:47
240,Data integration,failed,89328463727,ef19:ade6:297c:4527:1b75:b9ae:4bd3:48b0,Queensland,Queensland,2020-04-20 06:46:19
241,Building data pipelines,success,89328463728,48fc:44cb:50fb:dbb3:15c5:55a7:28a3:1d6d,Texas,Texas,2020-06-16 19:34:56
242,Data governance,-,89328463729,d1a4:e038:6421:5d67:61a8:a723:ab8:a08e,Paris,Paris,2020-11-05 19:25:15
243,Loading data into a data warehouse,success,89328463730,ad3:b519:21db:da56:4b3d:e616:5842:ea61,Ontario,Ontario,2020-05-07 08:44:37
244,Data governance,success,89328463731,3995:1005:10d7:78b9:d56a:b415:8550:bc4e,Queensland,Queensland,2020-08-21 14:52:09
245,Data quality assurance,success,89328463732,31f6:8b4a:b845:d0fb:58f0:ca09:f6bc:dda7,New York,New York,2020-05-02 23:07:46
246,Extracting data from various sources,success,89328463733,a60a:d8c1:2284:cd0e:87ba:487:9ddd:9058,Florida,Florida,2020-07-24 13:04:23
247,Data governance,success,89328463734,808a:b22a:6384:f3b2:bdb7:75b2:a9d1:e61b,Ontario,Ontario,2020-09-19 17:13:46
248,Optimizing database performance,success,89328463735,f921:b090:a400:35a0:b475:e70a:f775:ef2b,Tokyo,Tokyo,2020-08-08 15:59:20
249,Data governance,success,89328463736,e33d:d450:5c7a:a8ac:2771:75b0:8b18:76e,Tokyo,Tokyo,2020-06-14 17:44:46
250,Extracting data from various sources,success,89328463737,bd1a:940:d17e:6ecf:b4f1:c991:112:3095,New York,New York,2020-06-10 19:23:56
251,Building data pipelines,success,89328463738,5423:209f:39eb:de2b:899d:2eff:b2c7:1b34,Tokyo,Tokyo,2020-10-02 13:10:32
252,Data quality assurance,success,89328463739,71f9:ed:9638:86cf:159b:b912:f20c:a1f9,Tokyo,Tokyo,2020-04-17 05:41:19
253,Extracting data from various sources,failed,89328463740,1655:8067:9c99:30e0:fde:9ec8:6ff2:d2ec,Ontario,Ontario,2020-05-23 13:42:58
254,Optimizing database performance,success,89328463741,dccf:543:a165:52a9:cdcb:b4ea:a1ab:da19,Ontario,Ontario,2020-08-07 05:59:51
255,Extracting data from various sources,success,89328463742,b0fd:8646:2880:604e:f83:bf0d:683a:c0ae,Queensland,Queensland,2020-12-03 04:05:35
256,Loading data into a data warehouse,success,89328463743,38e0:5ba9:d87c:ed13:9307:f5ad:24f:37a4,Florida,Florida,2020-06-27 04:14:40
257,Data governance,success,89328463744,c7aa:4feb:2511:8dbc:770d:411f:94c6:1413,Texas,Texas,2020-08-22 10:12:28
258,Data quality assurance,success,89328463745,8208:a22f:cb1e:8e31:9459:7fa6:1ec5:721a,Paris,Paris,2020-11-29 06:37:46
259,Data integration,success,89328463746,8652:e7b8:f917:ef92:2fa5:6622:589d:806d,New York,New York,2020-07-25 20:00:32
260,Data integration,-,89328463747,11ab:54e:eca0:df68:e88:30a0:5eef:e421,California,California,2020-05-31 06:38:53
261,Extracting data from various sources,success,89328463748,b92b:4e2:9ef6:f89f:8b93:fc8e:500d:b1fe,New York,New York,2020-11-04 07:43:18
262,Building data pipelines,failed,89328463749,894:c218:1c66:1560:c48b:4a87:1f84:5036,Queensland,Queensland,2020-09-04 18:18:06
263,Building data pipelines,failed,89328463750,7a7a:52ed:8db8:3117:53b:c260:d02b:a42,Tokyo,Tokyo,2020-10-25 03:27:35
264,Building data pipelines,success,89328463751,1d91:dbae:9db:1d84:39ea:154f:a5c4:2ac9,New York,New York,2020-11-21 07:34:45
265,Data quality assurance,success,89328463752,ad8f:32d2:a647:f251:1aeb:80a0:b9f:df52,California,California,2020-05-06 11:45:07
266,Building data pipelines,success,89328463753,ffc4:7554:e1a1:919b:35c4:eef:2302:33c8,Tokyo,Tokyo,2020-11-16 00:00:07
267,Extracting data from various sources,success,89328463754,4a83:41f2:56d0:726d:8c09:d7e5:927f:b05b,Queensland,Queensland,2020-09-09 14:49:01
268,Designing and implementing data models,success,89328463755,939d:fda0:fc0:7e8:8727:bd46:b13b:f25c,Florida,Florida,2020-11-23 02:02:22
269,Data quality assurance,success,89328463756,6ba3:ede0:bdb8:1f84:3ce9:a761:9553:1b45,Tokyo,Tokyo,2020-12-06 08:49:56
270,Extracting data from various sources,success,89328463757,6180:6955:64ff:9378:223a:b976:1c46:1b94,Tokyo,Tokyo,2020-09-12 15:40:51
271,Designing and implementing data models,success,89328463758,75b7:2e0d:49ce:56ab:bc17:b5f9:2237:2be3,California,California,2020-08-20 10:12:28
272,Transforming data into a unified format,success,89328463759,15bd:4b1b:49a6:79d7:3453:4081:ec25:d092,Queensland,Queensland,2020-10-01 09:40:53
273,Data quality assurance,success,89328463760,cc03:ca75:d8cd:bf7d:3173:3762:cd58:af31,Texas,Texas,2020-10-09 10:16:50
274,Transforming data into a unified format,-,89328463761,c04f:5fb8:7a70:b943:48fa:7e58:24c5:982,Paris,Paris,2020-09-06 11:53:30
275,Designing and implementing data models,success,89328463762,3bd1:3a29:be50:3107:ee7:d922:6b59:f86d,Texas,Texas,2020-11-05 12:17:48
276,Data integration,success,89328463763,707e:5af2:fdcf:1ff0:80db:11f:356c:ec9c,New York,New York,2020-05-19 00:30:25
277,Extracting data from various sources,failed,89328463764,2e09:906e:af48:c457:7a:5ba3:558:c44c,New York,New York,2020-06-20 17:32:40
278,Data integration,success,89328463765,e7aa:9eac:29c:e2cf:6097:3c0e:e67a:e7c6,New York,New York,2020-10-07 07:31:01
279,Extracting data from various sources,failed,89328463766,5ad8:cb42:13c4:71cd:a117:e40d:9274:45ea,Tokyo,Tokyo,2020-12-14 11:45:33
280,Loading data into a data warehouse,success,89328463767,d1c2:a5b0:f9bd:186c:9555:52cc:a774:48d3,Texas,Texas,2020-08-18 16:37:53
281,Data integration,failed,89328463768,def2:368f:6c2a:c217:62c3:dda7:f699:ee7b,Paris,Paris,2020-06-30 13:22:44
282,Data integration,success,89328463769,7d9c:29b3:da0b:d7f8:1d77:fe15:a2d9:6a8f,Ontario,Ontario,2020-05-09 01:17:56
283,Transforming data into a unified format,success,89328463770,d772:7651:cc7e:960d:fdbb:c875:207c:5f9e,Florida,Florida,2020-05-07 19:16:58
284,Data integration,success,89328463771,9b87:99b:d15a:9ffb:7e57:fa7b:ec0b:e1c1,Queensland,Queensland,2020-06-25 13:40:46
285,Loading data into a data warehouse,success,89328463772,549f:d14e:9559:5968:7929:548e:4e59:a79b,California,California,2020-07-23 23:52:04
286,Data integration,success,89328463773,6e41:61fc:619d:ca09:9fc3:3b5a:9b6c:714f,Ontario,Ontario,2020-09-08 22:02:14
287,Designing and implementing data models,failed,89328463774,4eea:8703:a676:ca59:f86c:33d9:9095:2c58,Queensland,Queensland,2020-08-09 05:16:12
288,Loading data into a data warehouse,success,89328463775,9cc3:25d3:f1d1:e00d:f818:d684:c3f9:ca56,Paris,Paris,2020-07-20 02:10:08
289,Data quality assurance,success,89328463776,9fb6:d418:a57a:3f1d:cfcd:c581:3ecc:93bb,Texas,Texas,2020-06-03 11:09:45
290,Loading data into a data warehouse,success,89328463777,ae5d:da9b:a345:781e:386a:5bc:d895:7e76,New York,New York,2020-05-01 03:24:09
291,Building data pipelines,success,89328463778,3e71:9bd1:eeb2:1b12:bc4b:c52a:e18c:eb13,Ontario,Ontario,2020-08-30 15:07:44
292,Building data pipelines,success,89328463779,b8db:c481:befa:6efc:acb4:421f:af64:ff0,Paris,Paris,2020-06-12 22:40:19
293,Data governance,success,89328463780,a057:b591:95c2:81bf:1bea:fd42:e2e7:ae78,New York,New York,2020-09-01 13:25:26
294,Designing and implementing data models,failed,89328463781,6ece:9ba1:31bd:6a83:3067:5aaa:3109:ba2e,Texas,Texas,2020-10-14 02:54:10
295,Loading data into a data warehouse,success,89328463782,10cf:a8fb:fe33:c17:f781:9f21:7bdb:8348,Texas,Texas,2020-10-14 03:09:32
296,Building data pipelines,-,89328463783,7713:abe4:8f7a:ed50:ccb:fa76:3d32:5c2f,Texas,Texas,2020-08-18 04:23:38
297,Transforming data into a unified format,success,89328463784,49ab:f839:9af5:3648:2335:827e:610e:6f7a,New York,New York,2020-10-08 18:59:46
298,Data integration,failed,89328463785,eadb:2104:b55e:7cb0:2359:10b6:8105:1b6d,Tokyo,Tokyo,2020-05-08 09:08:08
299,Data governance,success,89328463786,6646:8102:df0c:7c3a:78d3:e401:529:80b5,Ontario,Ontario,2020-06-08 05:58:41
300,Data integration,success,89328463787,1d06:fd10:dd50:46e2:d626:41d1:36d0:8a02,Tokyo,Tokyo,2020-09-28 19:40:28
301,Loading data into a data warehouse,success,89328463788,6098:da0f:35b9:3004:4292:bc8:c66c:5254,Texas,Texas,2020-05-04 03:35:13
302,Data quality assurance,failed,89328463789,dfcb:e176:aede:95be:e8f:72ff:f366:4e07,Queensland,Queensland,2020-11-17 19:55:46
303,Data governance,success,89328463790,e68b:bbc6:33:fb03:bb9f:23bb:ae07:58ce,Queensland,Queensland,2020-11-27 12:18:21
304,Loading data into a data warehouse,success,89328463791,b941:597:3798:fb3a:99b4:f3ab:34a3:5852,Tokyo,Tokyo,2020-12-02 01:25:53
305,Loading data into a data warehouse,success,89328463792,f58e:d721:ca9f:7e37:8f85:16:d3b7:ea12,Florida,Florida,2020-09-24 17:05:32
306,Data governance,success,89328463793,e3e4:c38e:8964:5028:81f4:704f:382f:7bdb,Queensland,Queensland,2020-12-08 03:43:09
307,Data quality assurance,failed,89328463794,2dcb:fe6f:dd35:bb6a:236a:da0e:343c:64f7,New York,New York,2020-05-01 12:26:36
308,Data quality assurance,-,89328463795,1bd0:f846:ba1b:d49f:e93a:32a8:6cbf:ae8c,California,California,2020-08-02 01:49:12
309,Loading data into a data warehouse,success,89328463796,a176:e9c5:697c:dc14:9b6c:744b:c599:e3d7,Paris,Paris,2020-05-20 10:42:36
310,Building data pipelines,success,89328463797,8e9f:619e:926f:ab1b:9542:199b:b3a7:567e,Queensland,Queensland,2020-11-17 21:01:57
311,Data integration,-,89328463798,769f:4260:abba:22e0:5249:f3e7:194f:a2f5,Queensland,Queensland,2020-08-01 14:02:40
312,Data quality assurance,success,89328463799,758e:aee4:e1fe:da55:bc48:247f:f56c:b10e,Paris,Paris,2020-06-28 11:07:49
313,Transforming data into a unified format,success,89328463800,f5bb:b7b6:3001:a81b:d0a6:db2:f717:db94,Paris,Paris,2020-06-26 10:16:41
314,Optimizing database performance,success,89328463801,96b5:ee62:bff0:8300:91a2:e35d:b998:3562,Florida,Florida,2020-04-06 11:50:58
315,Optimizing database performance,success,89328463802,d6e:44cf:ee04:efa9:fbf1:25a8:fce7:ba46,New York,New York,2020-10-08 09:25:37
316,Optimizing database performance,success,89328463803,51f5:b709:48a4:3884:b174:d768:b46d:b8d9,Queensland,Queensland,2020-05-04 07:05:33
317,Transforming data into a unified format,failed,89328463804,ee5b:95ff:2693:52b3:158c:3cea:eab:b80b,New York,New York,2020-06-14 02:15:22
318,Data governance,-,89328463805,700b:cb02:db46:d889:c4f3:28cf:58a7:c71f,Ontario,Ontario,2020-10-21 06:16:24
319,Data integration,-,89328463806,aa68:29fb:b2a4:b2ea:2176:2e4d:db3a:a277,New York,New York,2020-08-16 23:50:41
320,Transforming data into a unified format,failed,89328463807,9a44:7d63:c7b4:2ffb:77bb:b4e3:7905:1115,Texas,Texas,2020-06-15 06:27:56
321,Extracting data from various sources,success,89328463808,f422:fdb2:3342:133e:1097:78e0:4eb:856b,Tokyo,Tokyo,2020-05-24 13:12:10
322,Extracting data from various sources,success,89328463809,cd0e:d933:bf22:7ccb:dfa0:c6f1:bf58:f4a0,Paris,Paris,2020-11-16 01:00:20
323,Building data pipelines,success,89328463810,59bd:2cdc:f558:d8e4:dd58:715a:54c9:6d9f,Texas,Texas,2020-06-13 18:47:52
324,Optimizing database performance,-,89328463811,980e:7903:7791:4ee3:36a8:8042:b388:8bc3,Paris,Paris,2020-07-12 03:03:47
325,Extracting data from various sources,success,89328463812,6acd:5e4a:6d5d:aad8:797f:ecff:c5b7:7216,Texas,Texas,2020-06-10 02:37:07
326,Optimizing database performance,success,89328463813,9ce8:894b:7643:6478:bcbc:3ec3:f7a0:9732,Paris,Paris,2020-04-19 21:44:14
327,Loading data into a data warehouse,success,89328463814,5089:b56b:3f84:5588:7cf:e843:b381:cb7c,Ontario,Ontario,2020-06-21 12:43:21
328,Data quality assurance,-,89328463815,d007:24b7:f684:a52c:6bfd:262b:7abb:21ed,New York,New York,2020-11-15 03:35:21
329,Building data pipelines,success,89328463816,7817:e17e:ae56:bf78:564b:cc45:5739:885f,Paris,Paris,2020-08-01 19:19:33
330,Extracting data from various sources,success,89328463817,cf63:b20d:42db:e7be:cae1:e4ff:632a:5528,Tokyo,Tokyo,2020-06-12 07:36:31
331,Optimizing database performance,success,89328463818,61d3:fdd2:a442:29f7:fd12:1810:f3cd:28c3,California,California,2020-10-31 19:44:31
332,Data governance,success,89328463819,d255:a486:e586:e203:8fe2:76ae:f27f:936,New York,New York,2020-10-01 09:10:59
333,Extracting data from various sources,failed,89328463820,8bc0:8aa9:21f4:1700:fef0:dfc7:4c99:f425,Texas,Texas,2020-07-26 18:25:53
334,Extracting data from various sources,success,89328463821,56d0:77d7:19a9:cfa:b461:b05c:4e85:59b9,Ontario,Ontario,2020-11-02 15:23:58
335,Transforming data into a unified format,success,89328463822,8d64:fe6:c99e:30d0:532d:788a:d7d5:5a4d,Florida,Florida,2020-08-12 16:58:54
336,Building data pipelines,-,89328463823,f489:dd57:cbc:1ce9:b863:311b:1a8b:bf2a,Texas,Texas,2020-05-06 03:24:41
337,Building data pipelines,success,89328463824,1fec:d7c6:75dc:5fde:d03:3b72:41ac:2913,Paris,Paris,2020-09-05 21:35:17
338,Data governance,success,89328463825,e857:8b98:6d35:92be:aa75:fa30:15ef:20ff,New York,New York,2020-10-10 04:18:40
339,Loading data into a data warehouse,success,89328463826,2428:e96f:251c:dfa5:3774:8348:7ed3:f94f,Paris,Paris,2020-08-12 16:34:26
340,Data quality assurance,success,89328463827,e79c:d8f:634:4042:b42:eaf9:d2be:1d8,Ontario,Ontario,2020-06-24 02:34:43
341,Data integration,success,89328463828,5818:e59c:b463:2acd:2d6b:59d2:a20:72a1,Tokyo,Tokyo,2020-07-29 11:29:05
342,Data governance,success,89328463829,9ae6:558d:f3a6:694f:e94c:3c07:be65:c551,Tokyo,Tokyo,2020-06-09 10:05:01
343,Transforming data into a unified format,-,89328463830,1506:def5:7f1:5b4d:92b5:3ecf:751f:dd27,Texas,Texas,2020-09-04 05:56:49
344,Data quality assurance,success,89328463831,a736:988b:72b5:978c:c8e9:8045:93d3:1236,Florida,Florida,2020-10-19 21:03:09
345,Data governance,success,89328463832,2593:1e9f:445e:3e8b:66ed:ea7d:e752:d04,Tokyo,Tokyo,2020-06-23 16:15:41
346,Optimizing database performance,success,89328463833,ab78:a3b7:d367:244b:3b13:b440:955d:ce67,Florida,Florida,2020-07-04 10:42:32
347,Building data pipelines,failed,89328463834,7222:589b:40f9:deb7:e43e:7890:af80:b2f2,California,California,2020-08-28 02:36:52
348,Extracting data from various sources,success,89328463835,4c8d:e108:60b9:1d08:c4b0:2aa9:b4a7:678b,Ontario,Ontario,2020-08-09 23:00:13
349,Designing and implementing data models,success,89328463836,194:f41b:1a0c:d256:4f64:9fd4:bafb:71e8,California,California,2020-09-29 06:48:54
350,Data quality assurance,success,89328463837,b2f:fdce:164b:d422:688c:30b7:aea6:1e21,Florida,Florida,2020-07-29 22:11:24
351,Data quality assurance,success,89328463838,9c68:5ccf:3ce5:7719:efce:9907:b4ce:5f77,Florida,Florida,2020-12-02 16:33:02
352,Building data pipelines,-,89328463839,875e:e184:2156:db4a:3a8:12ad:7f2b:543d,New York,New York,2020-11-05 02:30:01
353,Transforming data into a unified format,success,89328463840,deef:2d77:b384:32d3:e416:bffc:2fdb:2bb4,Paris,Paris,2020-08-14 22:38:51
354,Transforming data into a unified format,success,89328463841,722c:3ed6:6f85:7d9c:78de:5b70:3ca1:1bf8,Tokyo,Tokyo,2020-08-19 15:59:22
355,Transforming data into a unified format,success,89328463842,e282:e0b:4e5b:1f41:ee61:937c:1973:11fc,Tokyo,Tokyo,2020-09-25 21:23:26
356,Loading data into a data warehouse,-,89328463843,64c9:9e74:f26:4050:78cc:406c:9338:f21e,Ontario,Ontario,2020-05-26 07:40:50
357,Data integration,success,89328463844,403c:d6e:8ddb:8826:8f0c:6cd5:c16:cbb1,Tokyo,Tokyo,2020-06-22 10:35:11
358,Data integration,success,89328463845,b395:15eb:d86f:db6:d43:a09:79f:8cbf,Queensland,Queensland,2020-12-13 03:57:03
359,Optimizing database performance,success,89328463846,1287:3314:36c7:de13:c744:d13d:2223:ac5f,Florida,Florida,2020-04-11 00:09:07
360,Building data pipelines,success,89328463847,d684:e146:fc69:4b7b:2c35:a38a:849e:3820,New York,New York,2020-08-18 14:05:16
361,Data quality assurance,failed,89328463848,649b:1db5:69cd:2ab5:5a9a:89f0:7bbb:5bf3,Paris,Paris,2020-06-14 18:23:43
362,Data quality assurance,success,89328463849,eaf1:8d7:1545:982d:7539:116a:d408:21aa,New York,New York,2020-05-07 19:39:34
363,Transforming data into a unified format,success,89328463850,5c31:fc5:5d0f:d41e:7690:5661:fa1e:74d8,Tokyo,Tokyo,2020-09-24 16:25:56
364,Loading data into a data warehouse,success,89328463851,6c8e:4ab5:a703:3652:216e:7ebc:8385:b692,Paris,Paris,2020-10-31 20:28:44
365,Extracting data from various sources,success,89328463852,6539:47e8:fb52:8e84:53a4:2cea:45bb:6cfb,Queensland,Queensland,2020-12-12 20:27:34
366,Building data pipelines,success,89328463853,2353:e79e:6ff:84ff:52b6:5b33:29e7:e6c8,Florida,Florida,2020-09-16 01:52:04
367,Data integration,-,89328463854,c0ae:d18:aa6b:2f47:5a14:7ec7:cdeb:536e,Florida,Florida,2020-06-28 17:54:44
368,Extracting data from various sources,-,89328463855,8f23:b114:d734:3a27:6d32:2f02:ca22:dcb3,Paris,Paris,2020-06-24 07:22:05
369,Data quality assurance,success,89328463856,34bc:9572:bfbc:1c6f:3c0b:8cae:1b59:5ddf,New York,New York,2020-07-20 10:04:06
370,Building data pipelines,success,89328463857,ed81:1a3b:3297:4319:d46d:5648:fdbd:d123,Queensland,Queensland,2020-12-07 17:17:56
371,Extracting data from various sources,success,89328463858,7ada:d67c:56ff:48b3:97b8:40b6:1d7b:3890,Queensland,Queensland,2020-11-02 20:45:02
372,Loading data into a data warehouse,failed,89328463859,f607:1894:6ab:c2f7:36ea:5951:e600:bac1,Texas,Texas,2020-06-12 20:29:14
373,Data integration,success,89328463860,64ec:c9ec:2f7a:2870:cd25:4edb:7fe6:bd2,Florida,Florida,2020-10-12 19:22:50
374,Data governance,success,89328463861,35c7:903f:7d66:8ce0:c8da:611d:6e23:8f03,California,California,2020-07-25 09:25:11
375,Transforming data into a unified format,success,89328463862,79fd:6a3:ddd4:e607:d407:4fac:8c11:b68f,California,California,2020-07-24 16:17:04
376,Loading data into a data warehouse,failed,89328463863,106e:7931:53db:6648:3749:9558:c369:e709,California,California,2020-10-07 06:12:21
377,Loading data into a data warehouse,failed,89328463864,a270:485e:eaa4:7ac3:aa87:b27d:1cd8:4111,Ontario,Ontario,2020-06-06 15:14:17
378,Data governance,success,89328463865,bfce:9606:ac0a:b3e4:29bf:a6cc:efbe:4204,Ontario,Ontario,2020-09-25 12:12:11
379,Optimizing database performance,failed,89328463866,a44f:c567:f4d8:3b77:416a:3670:a012:b273,New York,New York,2020-06-26 14:16:15
380,Building data pipelines,success,89328463867,d3b7:b414:33c8:ac93:e965:88ac:1527:7892,Tokyo,Tokyo,2020-06-30 02:38:50
381,Transforming data into a unified format,-,89328463868,e59b:e7fa:d03d:a2db:2aea:db86:baf6:fbe2,Florida,Florida,2020-04-18 06:54:53
382,Extracting data from various sources,success,89328463869,e0f3:f8de:c2e8:707:a180:7735:c6bf:7f9,New York,New York,2020-07-17 13:10:14
383,Extracting data from various sources,failed,89328463870,72a5:2039:25b6:4d48:9409:adc8:76f2:4e9a,Ontario,Ontario,2020-05-12 00:37:12
384,Transforming data into a unified format,success,89328463871,35aa:216e:3b:6d01:e86b:629c:cb8f:263a,Florida,Florida,2020-04-10 13:21:52
385,Building data pipelines,success,89328463872,5e5d:eef6:bd5a:6426:909a:3d30:1fd4:418e,Florida,Florida,2020-09-28 05:49:41
386,Data governance,success,89328463873,8952:e657:2f77:84bd:2aa6:908b:9c94:1215,California,California,2020-09-05 00:02:58
387,Optimizing database performance,success,89328463874,ef00:3004:e171:9bcd:b7cd:e39c:e23e:c1c3,Ontario,Ontario,2020-10-12 22:40:22
388,Building data pipelines,success,89328463875,adfe:5ac3:f152:b786:2424:e67a:4840:275d,Tokyo,Tokyo,2020-09-14 22:35:21
389,Extracting data from various sources,success,89328463876,98ff:a9bb:f1f4:305c:8062:8413:2dd0:bf64,California,California,2020-11-11 01:27:33
390,Extracting data from various sources,failed,89328463877,6f3e:b427:ed74:90c7:c617:aa9c:819c:98b6,New York,New York,2020-08-25 09:09:58
391,Data governance,-,89328463878,d268:d9d3:d42b:c504:7f88:c060:50a9:9d31,Ontario,Ontario,2020-09-17 12:30:34
392,Data integration,success,89328463879,4131:8c0c:d6f5:fee9:efe3:e36:35b4:36c5,Tokyo,Tokyo,2020-06-29 06:54:02
393,Data integration,-,89328463880,36e6:e173:b047:77c4:f52f:eca3:f441:3363,New York,New York,2020-04-10 01:56:52
394,Data governance,success,89328463881,123a:56e3:8e46:5abe:4e94:143a:37f:1a39,California,California,2020-10-26 07:21:49
395,Data integration,-,89328463882,381a:cb00:a8de:5302:889d:df50:d41e:a0a9,New York,New York,2020-08-18 01:07:58
396,Designing and implementing data models,failed,89328463883,5b19:fd63:4d81:edce:901c:b3fe:3a0d:6a65,Queensland,Queensland,2020-11-18 17:27:56
397,Transforming data into a unified format,success,89328463884,a689:dabc:f72b:72a8:88d1:a76c:2a50:9536,Texas,Texas,2020-05-14 09:49:39
